
class:42, accuracy:0.59
class:43, accuracy:0.75556
class:44, accuracy:0.66
class:45, accuracy:0.49
class:46, accuracy:0.72464
class:47, accuracy:0.94
class:48, accuracy:0.75
class:49, accuracy:0.84
class:50, accuracy:0.73
class:51, accuracy:0.44
class:52, accuracy:0.83
class:53, accuracy:0.96
class:54, accuracy:0.76
* Accuracy: 0.88579 under 54 classes, 5 samples/class

model:82_layers18_margin20_epoch82.tar
class:1 , accuracy:0.84783
class:2 , accuracy:1.0
class:3 , accuracy:1.0
class:4 , accuracy:0.92
class:5 , accuracy:0.96667
class:6 , accuracy:1.0
class:7 , accuracy:1.0
class:8 , accuracy:1.0
class:9 , accuracy:0.97
class:10, accuracy:1.0
class:11, accuracy:1.0
class:12, accuracy:1.0
class:13, accuracy:1.0
class:14, accuracy:1.0
class:15, accuracy:0.88
class:16, accuracy:1.0
class:17, accuracy:1.0
class:18, accuracy:1.0
class:19, accuracy:1.0
class:20, accuracy:0.96
class:21, accuracy:1.0
class:22, accuracy:1.0
class:23, accuracy:0.98
class:24, accuracy:0.98
class:25, accuracy:0.99
class:26, accuracy:0.79
class:27, accuracy:0.97
class:28, accuracy:1.0
class:29, accuracy:0.89
class:30, accuracy:0.91
class:31, accuracy:0.96907
class:32, accuracy:1.0
class:33, accuracy:0.93
class:34, accuracy:1.0
class:35, accuracy:0.12
class:36, accuracy:1.0
class:37, accuracy:1.0
class:38, accuracy:0.97
class:39, accuracy:0.98
class:40, accuracy:1.0
class:41, accuracy:0.4
class:42, accuracy:0.62
class:43, accuracy:0.72222
class:44, accuracy:0.64
class:45, accuracy:0.54
class:46, accuracy:0.73913
class:47, accuracy:0.94
class:48, accuracy:0.74
class:49, accuracy:0.84
class:50, accuracy:0.75
class:51, accuracy:0.46
class:52, accuracy:0.86
class:53, accuracy:0.93
class:54, accuracy:0.78
* Accuracy: 0.88675 under 54 classes, 5 samples/class

model:48_layers18_margin20_epoch48.tar
class:1 , accuracy:0.65217
class:2 , accuracy:1.0
class:3 , accuracy:0.96
class:4 , accuracy:0.84
class:5 , accuracy:0.88333
class:6 , accuracy:0.99
class:7 , accuracy:0.89
class:8 , accuracy:0.98
class:9 , accuracy:0.89
class:10, accuracy:0.96
class:11, accuracy:0.99
class:12, accuracy:1.0
class:13, accuracy:0.84286
class:14, accuracy:1.0
class:15, accuracy:0.85
class:16, accuracy:1.0
class:17, accuracy:0.86
class:18, accuracy:1.0
class:19, accuracy:0.95
class:20, accuracy:0.88
class:21, accuracy:1.0
class:22, accuracy:0.92
class:23, accuracy:0.84
class:24, accuracy:0.94
class:25, accuracy:0.97
class:26, accuracy:0.46
class:27, accuracy:0.98
class:28, accuracy:0.98
class:29, accuracy:0.73
class:30, accuracy:0.9
class:31, accuracy:0.94845
class:32, accuracy:1.0
class:33, accuracy:0.6
class:34, accuracy:1.0
class:35, accuracy:0.4
class:36, accuracy:1.0
class:37, accuracy:1.0
class:38, accuracy:0.95
class:39, accuracy:0.92
class:40, accuracy:0.89796
class:41, accuracy:0.46
class:42, accuracy:0.63
class:43, accuracy:0.81111
class:44, accuracy:0.51
class:45, accuracy:0.42
class:46, accuracy:0.73913
class:47, accuracy:0.93
class:48, accuracy:0.53
class:49, accuracy:0.67
class:50, accuracy:0.65
class:51, accuracy:0.51
class:52, accuracy:0.78
class:53, accuracy:0.62
class:54, accuracy:0.6
* Accuracy: 0.82646 under 54 classes, 5 samples/class

model:74_layers18_margin20_epoch74.tar
class:1 , accuracy:0.83696
class:2 , accuracy:1.0
class:3 , accuracy:1.0
class:4 , accuracy:0.81
class:5 , accuracy:0.96667
class:6 , accuracy:1.0
class:7 , accuracy:1.0
class:8 , accuracy:0.98
class:9 , accuracy:0.98
class:10, accuracy:0.98
class:11, accuracy:1.0
class:12, accuracy:1.0
class:13, accuracy:0.85714
class:14, accuracy:1.0
class:15, accuracy:0.82
class:16, accuracy:1.0
class:17, accuracy:0.98
class:18, accuracy:1.0
class:19, accuracy:0.99
class:20, accuracy:0.98
class:21, accuracy:1.0
class:22, accuracy:0.99
class:23, accuracy:0.92
class:24, accuracy:0.94
class:25, accuracy:0.98
class:26, accuracy:0.69
class:27, accuracy:0.95
class:28, accuracy:1.0
class:29, accuracy:0.83
class:30, accuracy:0.96
class:31, accuracy:0.95876
class:32, accuracy:0.99
class:33, accuracy:0.88
class:34, accuracy:1.0
class:35, accuracy:0.02
class:36, accuracy:1.0
class:37, accuracy:1.0
class:38, accuracy:0.97
class:39, accuracy:0.94
class:40, accuracy:1.0
class:41, accuracy:0.45
class:42, accuracy:0.64
class:43, accuracy:0.83333
class:44, accuracy:0.55
class:45, accuracy:0.51
class:46, accuracy:0.71014
class:47, accuracy:0.84
class:48, accuracy:0.69
class:49, accuracy:0.75
class:50, accuracy:0.76
class:51, accuracy:0.48
class:52, accuracy:0.63
class:53, accuracy:0.93
class:54, accuracy:0.77
* Accuracy: 0.86364 under 54 classes, 5 samples/class

model:26_layers18_margin20_epoch26.tar
class:1 , accuracy:0.61957
class:2 , accuracy:1.0
class:3 , accuracy:0.96
class:4 , accuracy:0.76
class:5 , accuracy:0.73333
class:6 , accuracy:0.99
class:7 , accuracy:0.88
class:8 , accuracy:0.99
class:9 , accuracy:0.93
class:10, accuracy:0.88
class:11, accuracy:0.99
class:12, accuracy:0.99
class:13, accuracy:0.55714
class:14, accuracy:1.0
class:15, accuracy:0.82
class:16, accuracy:0.97
class:17, accuracy:0.53
class:18, accuracy:1.0
class:19, accuracy:0.94
class:20, accuracy:0.56
class:21, accuracy:0.99
class:22, accuracy:0.96
class:23, accuracy:0.41
class:24, accuracy:0.52
class:25, accuracy:0.97
class:26, accuracy:0.4
class:27, accuracy:0.95
class:28, accuracy:0.95
class:29, accuracy:0.81
class:30, accuracy:0.88
class:31, accuracy:0.86598
class:32, accuracy:0.77
class:33, accuracy:0.6
class:34, accuracy:0.99
class:35, accuracy:0.08
class:36, accuracy:1.0
class:37, accuracy:1.0
class:38, accuracy:0.94
class:39, accuracy:0.75
class:40, accuracy:0.79592
class:41, accuracy:0.43
class:42, accuracy:0.58
class:43, accuracy:0.63333
class:44, accuracy:0.57
class:45, accuracy:0.37
class:46, accuracy:0.81159
class:47, accuracy:0.82
class:48, accuracy:0.44
class:49, accuracy:0.77
class:50, accuracy:0.45
class:51, accuracy:0.51
class:52, accuracy:0.67
class:53, accuracy:0.61
class:54, accuracy:0.68
* Accuracy: 0.76021 under 54 classes, 5 samples/class

model:33_layers18_margin20_epoch33.tar
class:1 , accuracy:0.73913
class:2 , accuracy:1.0
class:3 , accuracy:1.0
class:4 , accuracy:0.8
class:5 , accuracy:0.85
class:6 , accuracy:0.98
class:7 , accuracy:0.88
class:8 , accuracy:0.97
class:9 , accuracy:0.99
class:10, accuracy:0.85
class:11, accuracy:0.95
class:12, accuracy:1.0
class:13, accuracy:0.84286
class:14, accuracy:1.0
class:15, accuracy:0.86
class:16, accuracy:0.98
class:17, accuracy:0.96
class:18, accuracy:1.0
class:19, accuracy:0.99
class:20, accuracy:0.82
class:21, accuracy:0.98
class:22, accuracy:0.99
class:23, accuracy:0.81
class:24, accuracy:0.87
class:25, accuracy:0.94
class:26, accuracy:0.56
class:27, accuracy:0.9
class:28, accuracy:0.97
class:29, accuracy:0.58
class:30, accuracy:0.93
class:31, accuracy:0.79381
class:32, accuracy:1.0
class:33, accuracy:0.82
class:34, accuracy:0.97
class:35, accuracy:0.25
class:36, accuracy:0.98462
class:37, accuracy:0.99
class:38, accuracy:0.93
class:39, accuracy:0.77
class:40, accuracy:1.0
class:41, accuracy:0.46
class:42, accuracy:0.47
class:43, accuracy:0.77778
class:44, accuracy:0.63
class:45, accuracy:0.58
class:46, accuracy:0.66667
class:47, accuracy:1.0
class:48, accuracy:0.66
class:49, accuracy:0.79
class:50, accuracy:0.7
class:51, accuracy:0.63
class:52, accuracy:0.64
class:53, accuracy:0.62
class:54, accuracy:0.9
* Accuracy: 0.83224 under 54 classes, 5 samples/class

model:76_layers18_margin20_epoch76.tar
class:1 , accuracy:0.86957
class:2 , accuracy:1.0
class:3 , accuracy:1.0
class:4 , accuracy:0.89
class:5 , accuracy:0.93333
class:6 , accuracy:1.0
class:7 , accuracy:1.0
class:8 , accuracy:0.99
class:9 , accuracy:0.97
class:10, accuracy:0.98
class:11, accuracy:1.0
class:12, accuracy:1.0
class:13, accuracy:0.87143
class:14, accuracy:1.0
class:15, accuracy:0.87
class:16, accuracy:1.0
class:17, accuracy:0.98
class:18, accuracy:1.0
class:19, accuracy:1.0
class:20, accuracy:0.93
class:21, accuracy:1.0
class:22, accuracy:0.99
class:23, accuracy:0.95
class:24, accuracy:0.83
class:25, accuracy:0.99
class:26, accuracy:0.55
class:27, accuracy:0.97
class:28, accuracy:1.0
class:29, accuracy:0.86
class:30, accuracy:0.91
class:31, accuracy:0.92784
class:32, accuracy:1.0
class:33, accuracy:0.91
class:34, accuracy:1.0
class:35, accuracy:0.09
class:36, accuracy:1.0
class:37, accuracy:1.0
class:38, accuracy:0.95
class:39, accuracy:0.96
class:40, accuracy:1.0
class:41, accuracy:0.39
class:42, accuracy:0.59
class:43, accuracy:0.78889
class:44, accuracy:0.7
class:45, accuracy:0.46
class:46, accuracy:0.76812
class:47, accuracy:0.92
class:48, accuracy:0.64
class:49, accuracy:0.54
class:50, accuracy:0.71
class:51, accuracy:0.43
class:52, accuracy:0.56
